"","imd","job_status","english_lang","uk_born","gross_income","qualification","own_home","workingstatus","ethnicity","sex","age","p_age","p_sex","p_ethn","p_workstatus","p_own_home","p_qual","p_income","p_uk","p_english","p_job","p_imd","product_p"
"1","1","intermediate","Yes","Yes","<10000","<=Level 1","Yes","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.35,0.43,0.1,0.463,0.6537,0.276,0.0186228267916515,1.57782563259689e-06
"2","1","higher","Yes","Yes","<10000","<=Level 1","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.43,0.1,0.463,0.6537,0.167,0.0186228267916515,1.77301213683636e-06
"3","1","lower","No","Yes",">=10000","<=Level 1","Yes","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.35,0.43,0.9,0.463,0.3463,0.557,0.0186228267916515,8.539730455911e-06
"4","1","higher","No","No","<10000","<=Level 1","No","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.65,0.43,0.1,0.553,0.3463,0.167,0.0186228267916515,1.20067481259564e-06
"5","1","intermediate","No","No","<10000","<=Level 1","No","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.65,0.43,0.1,0.553,0.3463,0.276,0.0186228267916515,3.68521918528071e-06
"6","1","intermediate","Yes","Yes",">=10000","<=Level 1","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.43,0.9,0.463,0.6537,0.276,0.0186228267916515,3.46135498150943e-05
"7","1","intermediate","Yes","No",">=10000",">=level 2","No","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.65,0.57,0.9,0.553,0.6537,0.276,0.0186228267916515,2.24828859252489e-05
"8","1","lower","Yes","No","<10000",">=level 2","Yes","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.35,0.57,0.1,0.553,0.6537,0.557,0.0186228267916515,6.61690611583223e-06
"9","1","higher","No","Yes","<10000","<=Level 1","No","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.65,0.43,0.1,0.463,0.3463,0.167,0.0186228267916515,1.00526661524734e-06
"10","1","intermediate","No","No",">=10000",">=level 2","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.57,0.9,0.553,0.3463,0.276,0.0186228267916515,5.70706293999588e-06
"11","1","higher","Yes","No",">=10000","<=Level 1","Yes","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.35,0.43,0.9,0.553,0.6537,0.167,0.0186228267916515,8.74212712958697e-06
"12","1","lower","Yes","Yes","<10000",">=level 2","Yes","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.35,0.57,0.1,0.463,0.6537,0.557,0.0186228267916515,2.27282610034243e-06
