LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile
E01003479,Newham 035A,E09000025,Newham,"7,984",3
E01003480,Newham 033A,E09000025,Newham,"11,375",4
E01003481,Newham 035B,E09000025,Newham,"8,693",3
E01003482,Newham 033B,E09000025,Newham,"9,464",3
E01003483,Newham 032A,E09000025,Newham,"5,149",2
E01003484,Newham 032B,E09000025,Newham,"12,241",4
E01003485,Newham 035C,E09000025,Newham,"11,327",4
E01003486,Newham 033C,E09000025,Newham,"2,519",1
E01003487,Newham 033D,E09000025,Newham,"3,338",2
E01003488,Newham 019A,E09000025,Newham,"4,059",2
E01003489,Newham 019B,E09000025,Newham,"6,119",2
E01003490,Newham 019C,E09000025,Newham,"7,543",3
E01003491,Newham 022A,E09000025,Newham,"8,256",3
E01003492,Newham 025A,E09000025,Newham,"10,800",4
E01003493,Newham 025B,E09000025,Newham,"9,393",3
E01003494,Newham 025C,E09000025,Newham,"13,284",5
E01003495,Newham 025D,E09000025,Newham,"16,134",5
E01003496,Newham 027A,E09000025,Newham,"8,737",3
E01003497,Newham 034A,E09000025,Newham,"6,552",2
E01003498,Newham 027B,E09000025,Newham,"6,586",3
E01003499,Newham 030A,E09000025,Newham,"4,081",2
E01003500,Newham 027C,E09000025,Newham,"6,133",2
E01003501,Newham 030B,E09000025,Newham,"5,437",2
E01003502,Newham 030C,E09000025,Newham,"5,384",2
E01003503,Newham 030D,E09000025,Newham,"4,459",2
E01003506,Newham 034D,E09000025,Newham,"3,005",1
E01003507,Newham 031A,E09000025,Newham,"6,282",2
E01003508,Newham 031B,E09000025,Newham,"5,231",2
E01003509,Newham 031C,E09000025,Newham,"5,736",2
E01003511,Newham 036A,E09000025,Newham,"5,790",2
E01003512,Newham 036B,E09000025,Newham,"5,783",2
E01003513,Newham 035D,E09000025,Newham,"12,640",4
E01003514,Newham 036C,E09000025,Newham,"5,315",2
E01003515,Newham 036D,E09000025,Newham,"2,533",1
E01003516,Newham 032C,E09000025,Newham,"4,284",2
E01003517,Newham 036E,E09000025,Newham,"2,706",1
E01003518,Newham 032D,E09000025,Newham,"12,298",4
E01003519,Newham 032E,E09000025,Newham,"8,298",3
E01003520,Newham 018A,E09000025,Newham,"9,784",3
E01003521,Newham 018B,E09000025,Newham,"8,772",3
E01003522,Newham 018C,E09000025,Newham,"7,371",3
E01003523,Newham 024A,E09000025,Newham,"7,292",3
E01003524,Newham 019D,E09000025,Newham,"8,734",3
E01003525,Newham 018D,E09000025,Newham,"7,708",3
E01003526,Newham 018E,E09000025,Newham,"7,996",3
E01003527,Newham 024B,E09000025,Newham,"14,394",5
E01003528,Newham 005A,E09000025,Newham,"7,853",3
E01003529,Newham 010A,E09000025,Newham,"11,784",4
E01003530,Newham 010B,E09000025,Newham,"12,818",4
E01003531,Newham 010C,E09000025,Newham,"8,410",3
E01003532,Newham 010D,E09000025,Newham,"10,613",4
E01003533,Newham 011A,E09000025,Newham,"9,258",3
E01003534,Newham 010E,E09000025,Newham,"10,661",4
E01003535,Newham 023A,E09000025,Newham,"3,580",2
E01003536,Newham 023B,E09000025,Newham,"8,245",3
E01003537,Newham 024C,E09000025,Newham,"10,573",4
E01003538,Newham 029A,E09000025,Newham,"7,064",3
E01003539,Newham 029B,E09000025,Newham,"9,378",3
E01003540,Newham 029C,E09000025,Newham,"4,673",2
E01003541,Newham 029D,E09000025,Newham,"9,496",3
E01003542,Newham 024D,E09000025,Newham,"6,748",3
E01003543,Newham 001A,E09000025,Newham,"11,912",4
E01003544,Newham 001B,E09000025,Newham,"8,651",3
E01003545,Newham 006A,E09000025,Newham,"9,504",3
E01003546,Newham 001C,E09000025,Newham,"6,455",2
