LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Overall Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2015 (excluding prisoners),Dependent Children aged 0-15: mid 2015 (excluding prisoners),Population aged 16-59: mid 2015 (excluding prisoners),Older population aged 60 and over: mid 2015 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners) 
E01003479,Newham 035A,E09000025,Newham,30.088,7984,3,0.156,9917,4,1577,397,1040,140,1031
E01003480,Newham 033A,E09000025,Newham,24.019,11375,4,0.129,12609,4,2296,373,1715,208,1686
E01003481,Newham 035B,E09000025,Newham,28.627,8693,3,0.157,9860,4,1558,341,1033,184,1048
E01003482,Newham 033B,E09000025,Newham,27.209,9464,3,0.109,15103,5,3092,666,2292,134,2245
E01003483,Newham 032A,E09000025,Newham,37.192,5149,2,0.237,4675,2,1596,370,1062,164,1053
E01003484,Newham 032B,E09000025,Newham,22.723,12241,4,0.151,10428,4,1717,410,1193,114,1169
E01003485,Newham 035C,E09000025,Newham,24.091,11327,4,0.129,12691,4,1639,366,1095,178,1079
E01003486,Newham 033C,E09000025,Newham,47.765,2519,1,0.294,2412,1,1262,245,809,208,797
E01003487,Newham 033D,E09000025,Newham,43.594,3338,2,0.298,2261,1,1340,307,902,131,881
E01003488,Newham 019A,E09000025,Newham,40.69,4059,2,0.268,3282,1,1987,480,1241,266,1216
E01003489,Newham 019B,E09000025,Newham,34.363,6119,2,0.236,4705,2,1824,497,1099,228,1071
E01003490,Newham 019C,E09000025,Newham,31.017,7543,3,0.212,5991,2,1945,511,1285,149,1258
E01003491,Newham 022A,E09000025,Newham,29.506,8256,3,0.186,7609,3,2209,378,1470,361,1452
E01003492,Newham 025A,E09000025,Newham,24.941,10800,4,0.114,14389,5,2199,571,1393,235,1366
E01003493,Newham 025B,E09000025,Newham,27.328,9393,3,0.157,9908,4,2445,607,1594,244,1572
E01003494,Newham 025C,E09000025,Newham,21.333,13284,5,0.113,14602,5,2390,671,1498,221,1462
E01003495,Newham 025D,E09000025,Newham,17.983,16134,5,0.103,15850,5,2202,588,1416,198,1396
E01003496,Newham 027A,E09000025,Newham,28.548,8737,3,0.185,7699,3,1424,272,1036,116,1018
E01003497,Newham 034A,E09000025,Newham,33.279,6552,2,0.198,6806,3,1717,335,1152,230,1143
E01003498,Newham 027B,E09000025,Newham,33.218,6586,3,0.193,7080,3,1855,403,1295,157,1279
