LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,Total
E09000025,Newham,E01003479,Newham 035A,1555
E09000025,Newham,E01003480,Newham 033A,2010
E09000025,Newham,E01003481,Newham 035B,1482
E09000025,Newham,E01003483,Newham 032A,1692
E09000025,Newham,E01003484,Newham 032B,1756
E09000025,Newham,E01003485,Newham 035C,1683
E09000025,Newham,E01003486,Newham 033C,1158
E09000025,Newham,E01003487,Newham 033D,1289
E09000025,Newham,E01003488,Newham 019A,1930
E09000025,Newham,E01003489,Newham 019B,3284
E09000025,Newham,E01003490,Newham 019C,2006
E09000025,Newham,E01003491,Newham 022A,2047
E09000025,Newham,E01003492,Newham 025A,2026
E09000025,Newham,E01003494,Newham 025C,2128
E09000025,Newham,E01003495,Newham 025D,2102
E09000025,Newham,E01003496,Newham 027A,1364
E09000025,Newham,E01003497,Newham 034A,1708
E09000025,Newham,E01003498,Newham 027B,1850
E09000025,Newham,E01003499,Newham 030A,2441
E09000025,Newham,E01003500,Newham 027C,2034
E09000025,Newham,E01003501,Newham 030B,2331
E09000025,Newham,E01003502,Newham 030C,2709
E09000025,Newham,E01003503,Newham 030D,2957
E09000025,Newham,E01003506,Newham 034D,1415
E09000025,Newham,E01003507,Newham 031A,2355
E09000025,Newham,E01003508,Newham 031B,2596
E09000025,Newham,E01003509,Newham 031C,2089
E09000025,Newham,E01003511,Newham 036A,1859
E09000025,Newham,E01003512,Newham 036B,1986
E09000025,Newham,E01003513,Newham 035D,1545
E09000025,Newham,E01003514,Newham 036C,1724
E09000025,Newham,E01003515,Newham 036D,2365
E09000025,Newham,E01003516,Newham 032C,1874
E09000025,Newham,E01003517,Newham 036E,1921
E09000025,Newham,E01003518,Newham 032D,1607
E09000025,Newham,E01003519,Newham 032E,1616
E09000025,Newham,E01003520,Newham 018A,2080
E09000025,Newham,E01003521,Newham 018B,2277
E09000025,Newham,E01003522,Newham 018C,1922
E09000025,Newham,E01003523,Newham 024A,2599
E09000025,Newham,E01003524,Newham 019D,1967
E09000025,Newham,E01003525,Newham 018D,2092
E09000025,Newham,E01003526,Newham 018E,1846
E09000025,Newham,E01003527,Newham 024B,1881
E09000025,Newham,E01003528,Newham 005A,1266
E09000025,Newham,E01003529,Newham 010A,2423
E09000025,Newham,E01003530,Newham 010B,1859
E09000025,Newham,E01003531,Newham 010C,2288
E09000025,Newham,E01003532,Newham 010D,2396
E09000025,Newham,E01003533,Newham 011A,2379
E09000025,Newham,E01003534,Newham 010E,2417
E09000025,Newham,E01003535,Newham 023A,1825
E09000025,Newham,E01003536,Newham 023B,2094
E09000025,Newham,E01003537,Newham 024C,2195
E09000025,Newham,E01003538,Newham 029A,2162
E09000025,Newham,E01003539,Newham 029B,2519
E09000025,Newham,E01003540,Newham 029C,1978
E09000025,Newham,E01003541,Newham 029D,1973
E09000025,Newham,E01003542,Newham 024D,2187
E09000025,Newham,E01003543,Newham 001A,2356
E09000025,Newham,E01003544,Newham 001B,1842
E09000025,Newham,E01003545,Newham 006A,1741
E09000025,Newham,E01003546,Newham 001C,1761
E09000025,Newham,E01003547,Newham 007A,2003
E09000025,Newham,E01003548,Newham 006B,2208
E09000025,Newham,E01003549,Newham 006C,2125
E09000025,Newham,E01003550,Newham 001D,1757
E09000025,Newham,E01003551,Newham 009A,1851
E09000025,Newham,E01003552,Newham 016A,1578
E09000025,Newham,E01003553,Newham 009B,2039
E09000025,Newham,E01003554,Newham 009C,1915
E09000025,Newham,E01003555,Newham 007B,1927
E09000025,Newham,E01003556,Newham 008A,1997
E09000025,Newham,E01003557,Newham 006D,1937
E09000025,Newham,E01003558,Newham 008B,1748
E09000025,Newham,E01003559,Newham 009D,2468
